TWEET_ID,TWEET,TWEET_Label
80080680482123700,seriously? racist mcdonaldâ€™s sign is obviously a hoax - URL,false
80084555733803000,hoax: mcdonald's issues official statement on racist sign [updated] URL #seriouslymcdonalds,false
91728807081426900,"#psa please do not drink any pepsi soda, a worker from that company has put blood contaminated with aids inside the bottles!!! please rt!!",false
265953285247209000,deep-fried left wings demo-crab cakes barack-amole & chips malia quesadillas hawaiian pizza sloppy joe bidens obamacare-rot cake,false
273182568298450000,42 million dead in bloodiest black friday weekend on record URL,false
273278761909239000,42 million dead in bloodiest black friday weekend on record URL,false
295152287901417000,#prayforchristopher 5k run .. well we are walking lol @savannahn_2012 @lemongella URL,true
295944137948151000,a photo of black nurses saving the life of a kkk member. URL,false
318263294098030000,a photo of black nurses saving the life of a kkk member. URL,false
319166636902998000,a photo of black nurses saving the life of a kkk member. URL,false
326137285450018000,a photo of black nurses saving the life of a kkk member. URL,false
334722003057647000,this is just about the weirdest fetish i've ever heard of. what was he thinking of? (via @elvis717) URL,false
336873759271157000,hasan gets $278k but victims denied army benefits. disgusting waste of tax $$. garnish his wages & send 2 red cross URL,true
336913656921083000,fort hood shooter reportedly has drawn $278g in salary since massacre URL,true
348203818741272000,"'outrage' is an understatement >> irs sent $46,378,040 in refunds to 23,994 â€˜unauthorizedâ€™ aliens at 1 atl address URL",true
348204426659508000,"irs sent $46,378,040 in refunds to 23,994 â€˜unauthorizedâ€™ aliens at 1 atlanta address | cns news URL via @sharethis",true
348209998565879000,"paula deen: ""forget the food network. i've already been offered a cooking show on the new fox news food channel.""",false
351767344097398000,expect to see russian forces at us events to provide â€œsecurityâ€ - this is illegal under posse comitatus! URL,false
352075672543428000,"paula deen moves to have discrimination suit dismissed. just in time for her new book ""how to cook a jew"".",false
356268980211687000,obama files federal charges against george zimmerman following acquittal in shooting murder of trayvon martin | URL,false
356297080169447000,obama files federal charges against george zimmerman ðŸ™ŒðŸ™ŒðŸ™Œ that's myyyyyyy president! yaassssss ðŸ™ praise the lord.,false
356310469390245000,*breaking news* obama administration files federal charges against george zimmerman! #ontheroadtojustice,false
356407105953071000,just in... @barackobama & department of justice file federal charges against #georgezimmerman,false
356437941641416000,obama has filed federal charges against zimmerman for violating trayvon's civil rights. god is good,false
357299879070023000,please read! do not purchase koch products. they're paying for zimmerman's attorney fees! URL,false
357300409292959000,lets start by boycotting koch industiers they paid for george zimmerman legal fees #justicefortrayvon #jurorb37 URL,false
358591089462099000,this week's top story: george zimmerman wins florida state lottery URL,false
364383457545162000,highly radioactive water is seeping into the ocean from japan's crippled fukushima nuclear plant URL,false
364589696573124000,fukushima: highly radioactive water seeping into the ocean URL,false
365052155385749000,"revealed: #fukushima leaking radioactive water for â€˜2 yearsâ€™, 300 tons flowing into pacific daily URL",false
365056836476481000,estimated 300 tons of contaminated water leaking into pacific ocean per day from wrecked #fukushima nuclear plant URL,false
365276206381268000,"japan: fukushima nuclear plant is leaking 80,000 gallons of radioactive water into ocean daily. URL",false
365497016098369000,water leaks at fukushima could contaminate entire pacific ocean URL,false
366025766183514000,japanese government says fukushima nuclear plant is leaking 300 tons of radioactive water into the ocean every day URL,false
